Code,Product
GT01,"Products of agriculture, hunting, and forestry; fish and other fishing products"
GT02,Coal and lignite; crude petroleum and natural gas
GT03,Metal ores and other mining and quarrying products; peat; uranium and thorium
GT04,"Food products, beverages and tobacco"
GT05,Textiles and textile products; leather and leather products
GT06,"Wood and products of wood and cork (except furniture); articles of straw and plaiting materials; pulp, paper and paper products; printed matter and recorded media"
GT07,Coke and refined petroleum products
GT08,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
GT09,Other non metallic mineral products
GT10,"Basic metals; fabricated metal products, except machinery and equipment"
GT11,"Machinery and equipment n.e.c.; office machinery and computers; electrical machinery and apparatus n.e.c.; radio, television and communication equipment and apparatus; medical, precision and optical instruments; watches and clocks"
GT12,Transport equipment
GT13,Furniture; other manufactured goods n.e.c.
GT14,Secondary raw materials; municipal wastes and other wastes
GT15,"Mail, parcels"
GT16,Equipment and material utilized in the transport of goods
GT17,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non market goods n.e.c.
GT18,Grouped goods: a mixture of types of goods which are transported together
GT19,Unidentifiable goods: goods which for any reason cannot be identified and therefore cannot be assigned to groups 01-16.
GT20,Other goods n.e.c.
TOTAL,Total transported goods
